"GeneName","PearsonCorrelation","p.Standard","q.Standard"
"130","FAM13B",-0.429396498919993,1.15929537024541e-10,4.8872209667111e-09
"131","CACNA1D",-0.429329283845685,1.1681688967752e-10,4.8872209667111e-09
"132","C20orf24",0.428312046463146,1.31076472136897e-10,5.40133029285312e-09
"133","TGIF2-C20orf24",0.428312046463146,1.31076472136897e-10,5.40133029285312e-09
"134","NDUFA9",0.428164173624342,1.33284794181225e-10,5.45134213084321e-09
"135","MKI67",0.427572314924849,1.42489661398291e-10,5.78465174614206e-09
"136","KIF14",0.427151892760524,1.49398982534915e-10,6.02055271920133e-09
"137","PBK",0.42705905969536,1.50967762919407e-10,6.03936509635367e-09
"138","CKS1B",0.426796271664413,1.55495544027376e-10,6.17541991485947e-09
"139","BLM",0.425601918601573,1.77784238644869e-10,7.00980744327833e-09
"140","DBF4",0.424328411256087,2.04950277375375e-10,8.02320902817783e-09
"141","IGF2",-0.424120212771366,2.09757532340949e-10,8.0957456108938e-09
"142","INS-IGF2",-0.424120212771366,2.09757532340949e-10,8.0957456108938e-09
"143","MEIS3P1",-0.42396180951599,2.13487926680163e-10,8.17968450159464e-09
"144","FANCA",0.423901822179773,2.14917318195461e-10,8.17968450159464e-09
"145","HMMR",0.422755491844164,2.44080042830244e-10,9.22554222330647e-09
"146","SLC7A5",0.421723963280916,2.73567110262289e-10,1.0269248409064e-08
"147","BID",0.421644040499148,2.75990350963176e-10,1.02716517601235e-08
"148","BBS1",-0.421598529252406,2.77379505909641e-10,1.02716517601235e-08
"149","RGL2",-0.421085180150721,2.93524563443352e-10,1.07965702430872e-08
"150","OIP5",0.42097721017932,2.97034129556514e-10,1.08528231550779e-08
"151","DQ597730",-0.420461920999917,3.14350360230739e-10,1.13343862071714e-08
"152","LRRC37A2",-0.420461920999917,3.14350360230739e-10,1.13343862071714e-08
"153","FOXA1",-0.419143095853898,3.63233858861243e-10,1.30113549909111e-08
"154","TBC1D9",-0.418841675936416,3.75397312926538e-10,1.33460385432758e-08
"155","SREK1",-0.418791805035172,3.7744740220311e-10,1.33460385432758e-08
"156","FANCI",0.418695550145288,3.81434894998482e-10,1.34005756625928e-08
"157","H2AFX",0.418031601734415,4.10070714829563e-10,1.43148478101888e-08
"158","MAPT",-0.416980073981311,4.59721981224678e-10,1.5946516074279e-08
"159","KPNA2",0.416687386540445,4.74545489982355e-10,1.63571771895775e-08
"160","KIF15",0.415831434556388,5.20596134517536e-10,1.77505686191951e-08
"161","PSME4",0.415816310959126,5.21447408598306e-10,1.77505686191951e-08
"162","GALNT10",-0.415456624438305,5.42094499525795e-10,1.83395053746539e-08
"163","PLK4",0.41488352986912,5.76634013381347e-10,1.93883246851363e-08
"164","C4A",-0.413787939772417,6.48676362681354e-10,2.14144918495501e-08
"165","C4B",-0.413787939772417,6.48676362681354e-10,2.14144918495501e-08
"166","C4B_2",-0.413787939772417,6.48676362681354e-10,2.14144918495501e-08
"167","ABCG2",-0.413732785407697,6.52524184029881e-10,2.14144918495501e-08
"168","GINS3",0.41364958130375,6.58370647534163e-10,2.14777513796217e-08
"169","LZTFL1",-0.41315492640437,6.9418746841342e-10,2.25121874910745e-08
"170","KDM4B",-0.412609125399314,7.35892227412559e-10,2.37242737566965e-08
"171","ERCC6L",0.412111972978698,7.75978762776978e-10,2.48703190907297e-08
"172","GARS",0.412011989051905,7.84291680446904e-10,2.49165576829027e-08
"173","SNRPC",0.411985432241661,7.86514101546712e-10,2.49165576829027e-08
"174","CAST",-0.411828840035618,7.99742831878809e-10,2.51900332152379e-08
"175","CENPU",0.411337415924137,8.4266835842177e-10,2.63904180765423e-08
"176","SPC25",0.411279243585001,8.47894623269654e-10,2.64032170411985e-08
"177","PGBD5",0.41112349291027,8.62042039121126e-10,2.66921041916445e-08
"178","EFCAB14",-0.410746915467999,8.97196514176533e-10,2.76245497054882e-08
"179","LIMA1",-0.410353591165867,9.3539164626728e-10,2.8639675195464e-08
"180","KIFC1",0.410288233975171,9.41888693867286e-10,2.86783863344007e-08
"181","SLC35E2",-0.410096657767079,9.61185079106022e-10,2.89443142509851e-08
"182","SLC35E2B",-0.410096657767079,9.61185079106022e-10,2.89443142509851e-08
"183","MIR3658",0.409565731104304,1.01667876970192e-09,3.02826281648625e-08
"184","UCK2",0.409565731104304,1.01667876970192e-09,3.02826281648625e-08
"185","KCMF1",0.409504840516683,1.02323755102775e-09,3.0313241081228e-08
"186","SCUBE2",-0.409442040650951,1.03004478760591e-09,3.03508456994034e-08
"187","KANK2",-0.409315887806838,1.04385163220212e-09,3.05931925667126e-08
"188","GAPDH",0.408978287250189,1.08168532254955e-09,3.15333941858009e-08
"189","PSMB5",0.408069859964396,1.19018226979877e-09,3.43535878236961e-08
"190","CRTAP",-0.408063621848318,1.19096245158433e-09,3.43535878236961e-08
"191","CX3CR1",-0.407378873031932,1.2796713349457e-09,3.67191573921372e-08
"192","CCNE1",0.407296819456419,1.29071990500229e-09,3.68432905669043e-08
"193","IDO1",0.406975364882458,1.33489782901808e-09,3.7906907020132e-08
"194","LRRC17",-0.406463170232726,1.40832086092057e-09,3.96877116038362e-08
"195","ZBTB20",-0.40643756323564,1.41209214528347e-09,3.96877116038362e-08
"196","NBPF1",-0.405905674785228,1.49266702539918e-09,4.17382753501144e-08
"197","MKL2",-0.405804770321745,1.50844575477995e-09,4.19653745099539e-08
"198","BAZ2B",-0.405680849827528,1.52804393124585e-09,4.22959011471819e-08
"199","CHEK2",0.40562083210147,1.53762393084778e-09,4.23471985710667e-08
"200","STMN1",0.405191716087578,1.60782824001643e-09,4.40592691621617e-08
"201","ISG20",0.405090228833432,1.62487865868942e-09,4.43049763930206e-08
"202","MARCO",0.404778184563762,1.67840411124927e-09,4.53440904676079e-08
"203","TXN",0.404771694880769,1.67953516289384e-09,4.53440904676079e-08
"204","FYCO1",-0.404717104948939,1.68907851049907e-09,4.53782038172097e-08
"205","SPG11",-0.404662654038809,1.69864968037586e-09,4.5412728171084e-08
"206","PER2",-0.40450048554088,1.72746613774887e-09,4.5958934849218e-08
"207","CTDSP1",-0.404360924323977,1.75264262995483e-09,4.64034913598519e-08
"208","FAM179B",-0.403849217065482,1.84801788725665e-09,4.86934412308544e-08
"209","C1orf106",0.403202972675542,1.97564371170656e-09,5.17547538917129e-08
"210","PGK1",0.403166534195963,1.98308765140259e-09,5.17547538917129e-08
"211","COL14A1",-0.403036691505096,2.00983360921456e-09,5.22041803489106e-08
"212","DDX21",0.402905516739218,2.03720724689471e-09,5.26655936250505e-08
"213","IKBKB",-0.402338713598707,2.15967984242653e-09,5.55696170085271e-08
"214","ESPL1",0.401997890817467,2.23671158595686e-09,5.72827482968211e-08
"215","LAMP5",-0.401811974536115,2.27984228695307e-09,5.81157674295077e-08
"216","TGFB3",-0.401575495655902,2.33586345642091e-09,5.92681448312463e-08
"217","LOC100996668",-0.401224162777574,2.42155220462474e-09,6.08786446067453e-08
"218","ZEB1",-0.401224162777574,2.42155220462474e-09,6.08786446067453e-08
"219","PSMA4",0.400744111805593,2.54355095498447e-09,6.36537449568994e-08
"220","CCT5",0.400251112989132,2.67500262773293e-09,6.65827706596898e-08
"221","SLC2A1",0.400214981864004,2.68489004484266e-09,6.65827706596898e-08
"222","CXCL10",0.400061049131149,2.72741072995569e-09,6.73325717487221e-08
"223","BCL2A1",0.399779005579358,2.80701050089156e-09,6.8986928056295e-08
"224","STARD13",-0.398788913459072,3.10456357347895e-09,7.59591631512751e-08
"225","ANKRA2",-0.398634804495464,3.15353171700899e-09,7.68143424903775e-08
"226","MCM5",0.398105231041415,3.32754545022446e-09,8.06943614400601e-08
"227","RAN",0.397674794084818,3.47577010252103e-09,8.39175543083118e-08
"228","TOP2A",0.39677473590476,3.80656132483563e-09,9.15009527273961e-08
"229","COX5A",0.396600569677056,3.87398477503824e-09,9.24084242280143e-08
"230","GZMB",0.396573425169809,3.88459614775469e-09,9.24084242280143e-08
"231","SRSF5",-0.396547144766918,3.89489641649401e-09,9.24084242280143e-08
"232","LAMP3",0.396383366880297,3.95968287322198e-09,9.32156163041998e-08
"233","KIAA1462",-0.396375213522447,3.96293513657756e-09,9.32156163041998e-08
"234","SLC2A6",0.396050415466417,4.09460784211338e-09,9.57770129130501e-08
"235","FAM114A2",-0.396020898746614,4.10678075500098e-09,9.57770129130501e-08
"236","U50535",-0.39538298099593,4.37854898551404e-09,1.01385147098689e-07
"237","GLI3",-0.395370017940856,4.38424736229466e-09,1.01385147098689e-07
"238","PPP1R14B",0.394358468638523,4.85164797096063e-09,1.11722322864446e-07
"239","ZNF665",-0.393571577945063,5.24808906953991e-09,1.20345797299849e-07
"240","TP73-AS1",-0.393130456564298,5.4837968316807e-09,1.25226933773287e-07
"241","MCM4",0.393011598493019,5.54903153107549e-09,1.26190825762598e-07
"242","CDC123",0.392718412122684,5.71315825097954e-09,1.29386367470682e-07
"243","RIPK2",0.392605571635205,5.77756496051982e-09,1.30306534793661e-07
"244","VAV3",-0.391864230559562,6.21843326044148e-09,1.3967503328545e-07
"245","SYNC",-0.391107615173799,6.70172482668787e-09,1.49916053012395e-07
"246","EVC",-0.390911910678201,6.8325039748711e-09,1.52220245549206e-07
"247","MXRA8",-0.390843517844619,6.87878432088124e-09,1.52630867176307e-07
"248","CTSV",0.390781366048118,6.92110321261382e-09,1.52722516244574e-07
"249","PNP",0.390755707745078,6.93864687434529e-09,1.52722516244574e-07
"250","ME1",0.390695565782832,6.97993648821661e-09,1.53016792622569e-07
"251","CYCS",0.390338478115806,7.23000713949629e-09,1.57867465620905e-07
"252","IGFBP4",-0.390104218793548,7.39872384705392e-09,1.60602010039654e-07
"253","PDHA1",0.390063156645915,7.42868530318174e-09,1.60602010039654e-07
"254","SRPK1",0.39004338307378,7.44315496172567e-09,1.60602010039654e-07
"255","NUP93",0.389754092925486,7.65797687213005e-09,1.64589263635031e-07
"256","CENPE",0.389437643361338,7.89980337484801e-09,1.69123496526781e-07
"257","XPC",-0.389230039058599,8.06242866911289e-09,1.71933456519845e-07
"258","ORC1",0.389019658572824,8.23051518000483e-09,1.7483764438572e-07
"259","MRPL15",0.388773818585993,8.43120928858375e-09,1.78409402247953e-07
"260","OR7E37P",0.38849265481311,8.66651770851858e-09,1.82275876190142e-07
"261","CDC25B",0.388476242837177,8.68044659738562e-09,1.82275876190142e-07
"262","RPP25",0.388397130273315,8.74789258080827e-09,1.82991021903958e-07
"263","TRPC1",-0.388328091759988,8.80716215403449e-09,1.83530342993326e-07
"264","TIPIN",0.387730711978627,9.33641592553223e-09,1.93822368411876e-07
"265","NEK11",-0.387539821593553,9.51189899620466e-09,1.96720214067658e-07
"266","C6orf120",-0.387475414184876,9.57182109278556e-09,1.97140948351324e-07
"267","TXNRD1",0.387440790118776,9.60418397121187e-09,1.97140948351324e-07
"268","PSMA7",0.387327872989923,9.71046040822665e-09,1.98578698562104e-07
"269","LMNB2",0.387194159955861,9.83777411903233e-09,2.0043437165931e-07
"270","ITPR1",-0.38702967385915,9.99659323110828e-09,2.01264118318102e-07
"271","PNRC2",-0.386967081232823,1.00576753059361e-08,2.01264118318102e-07
"272","GLTSCR2",-0.386907127028758,1.01165194076994e-08,2.01264118318102e-07
"273","SNORD23",-0.386907127028758,1.01165194076994e-08,2.01264118318102e-07
"274","MARS",0.386896240736046,1.01272396224327e-08,2.01264118318102e-07
"275","MIR6758",0.386896240736046,1.01272396224327e-08,2.01264118318102e-07
"276","CHST2",0.386887797776756,1.01355613067733e-08,2.01264118318102e-07
"277","ARNTL2",0.386451969735173,1.05741840428031e-08,2.08904829799426e-07
"278","TRIM52",-0.386430188003725,1.05965781273322e-08,2.08904829799426e-07
"279","ECT2",0.386124651905844,1.09155557154526e-08,2.14421968979273e-07
"280","ADIRF",-0.385858828889327,1.120057362741e-08,2.19234988600713e-07
"281","BRD8",-0.385356325877521,1.17590503751492e-08,2.29347263809378e-07
"282","EMC8",0.3850851805437,1.2071432290771e-08,2.34605034000634e-07
"283","TPCN1",-0.385002286960289,1.21685159602568e-08,2.35656168785517e-07
"284","GOLT1B",0.384816755521034,1.23885378330432e-08,2.3907234621789e-07
"285","LAG3",0.384617723745194,1.26288248198314e-08,2.42854251747405e-07
"286","CEBPG",0.384145926403318,1.32164647783881e-08,2.52875220056634e-07
"287","HBP1",-0.384125719342746,1.32422120544777e-08,2.52875220056634e-07
"288","MCUR1",0.383747862613212,1.37326498239509e-08,2.61330133546144e-07
"289","TTLL3",-0.383393046354768,1.42090591434472e-08,2.69460500094514e-07
"290","YARS",0.383324669800379,1.43026773651682e-08,2.70300579286729e-07
"291","SETBP1",-0.383066991751925,1.46608395349244e-08,2.76117214562873e-07
"292","IRAK1",0.382998670528419,1.47572409950801e-08,2.76980981861457e-07
"293","KIF13B",-0.382809426998118,1.50274586781641e-08,2.81090102801078e-07
"294","PDSS1",0.382729397551207,1.51431578403402e-08,2.81225573264042e-07
"295","BOP1",0.382698098345809,1.51886400323599e-08,2.81225573264042e-07
"296","MIR7112",0.382698098345809,1.51886400323599e-08,2.81225573264042e-07
"297","MTCH2",0.382400351010674,1.56279313930865e-08,2.88385007708517e-07
"298","ESR1",-0.382352822961144,1.56991750395216e-08,2.88425201055992e-07
"299","CHAF1B",0.382309758104284,1.57639981446025e-08,2.88425201055992e-07
"300","PHF1",-0.38229386281916,1.5787989413196e-08,2.88425201055992e-07
"301","ZNF573",-0.382244894519179,1.58621198163618e-08,2.8881674073375e-07
"302","SPARCL1",-0.381803787212265,1.65451524790413e-08,3.00255840017501e-07
"303","PSMA2",0.38161415103001,1.68474111989378e-08,3.04088977439432e-07
"304","CCDC176",-0.381601762290218,1.68673411780871e-08,3.04088977439432e-07
"305","ECM2",-0.381485883790969,1.70548581943282e-08,3.06461487799557e-07
"306","PFDN5",-0.381352657258503,1.72729260608632e-08,3.08444720475231e-07
"307","COX7A1",-0.381349706742613,1.72777857462075e-08,3.08444720475231e-07
"308","HPSE",0.381216442315469,1.74986568483531e-08,3.11373487100068e-07
"309","GPRASP1",-0.380859774761786,1.81032348581286e-08,3.21088934142213e-07
"310","GNG12",-0.380324369919254,1.90486450578812e-08,3.36209872261796e-07
"311","AARS",0.380307906343627,1.90784557205016e-08,3.36209872261796e-07
"312","GNG11",-0.380208087484979,1.92601609589303e-08,3.38324111910223e-07
"313","PARPBP",0.380035878828389,1.95775597090771e-08,3.42800819830719e-07
"314","GNLY",0.379948175913006,1.97411324160178e-08,3.44564115305738e-07
"315","CENPI",0.379863258691564,1.99007612385654e-08,3.4624759674851e-07
"316","CD7",0.379698799360753,2.02134511737154e-08,3.50575061909834e-07
"317","CHST15",-0.37964398641429,2.03187137843841e-08,3.51289025860383e-07
"318","VWA8",-0.379593024482541,2.04170535772615e-08,3.51879187667321e-07
"319","AKAP11",-0.379304211138846,2.09830725342408e-08,3.60500632562004e-07
"320","SNRPD1",0.379255226212978,2.10805579916891e-08,3.61043687506578e-07
"321","SHCBP1",0.378867599961177,2.18674829622964e-08,3.73354505569353e-07
"322","CA12",-0.378769739759373,2.20705710169837e-08,3.75651675357718e-07
"323","STC2",-0.378190805740311,2.33096289283651e-08,3.95512733253532e-07
"324","POLR2D",0.377998223839315,2.37364236569859e-08,4.01511424311769e-07
"325","TCEAL1",-0.377750747720913,2.429591155438e-08,4.09710853846147e-07
"326","DTL",0.377705160067474,2.44003482419048e-08,4.10209823879726e-07
"327","LYPD1",0.377486867190008,2.49064439966147e-08,4.1743763899092e-07
"328","LOC101060181",-0.377238303652158,2.54950057514214e-08,4.24704486267474e-07
"329","ZNF44",-0.377238303652158,2.54950057514214e-08,4.24704486267474e-07
"330","USP18",0.377157633271003,2.56888778965737e-08,4.26637304547768e-07
"331","ITGB5",-0.377069029380611,2.59034490146613e-08,4.28901171259074e-07
"332","CEBPB",0.376858868060788,2.64193046135439e-08,4.36124948179435e-07
"333","ABAT",-0.376706584331087,2.67992493760492e-08,4.40420438782486e-07
"334","LOC101930578",-0.376626581157587,2.70009540890414e-08,4.40420438782486e-07
"335","MRPS31P5",-0.376626581157587,2.70009540890414e-08,4.40420438782486e-07
"336","THSD1",-0.376626581157587,2.70009540890414e-08,4.40420438782486e-07
"337","NBR1",-0.376540361982849,2.72199638209403e-08,4.42675284442738e-07
"338","MFAP3",-0.376480744436014,2.73723986404516e-08,4.4383729058279e-07
"339","SKA1",0.376367030018976,2.76654302621039e-08,4.47265461856556e-07
"340","ACTR3",0.3759719255748,2.87071926899671e-08,4.62742554407493e-07
"341","STK32B",-0.375905457052508,2.88861124091182e-08,4.64261157891004e-07
"342","COL16A1",-0.375852540369955,2.90293189423089e-08,4.6519857225093e-07
"343","LAD1",0.375758639106821,2.92851215854761e-08,4.6716403871637e-07
"344","LRRFIP1",-0.375745003333687,2.93224473155583e-08,4.6716403871637e-07
"345","MAGI2",-0.375609092459431,2.96969885253718e-08,4.71759819223237e-07
"346","SESN1",-0.375338663825238,3.04559505864309e-08,4.8241820971939e-07
"347","BCAM",-0.375207095403604,3.08319048637245e-08,4.8696585972816e-07
"348","GON4L",-0.375121380957665,3.10792266086407e-08,4.89461561497436e-07
"349","CFLAR",0.374751354285962,3.21689544500919e-08,5.05171860426966e-07
"350","SPTAN1",-0.374618018025643,3.25705530934312e-08,5.10017081173973e-07
"351","ARPC5L",0.37450781413567,3.29061101385063e-08,5.13803505254863e-07
"352","TDO2",0.374459917078159,3.30529837955088e-08,5.14630639858707e-07
"353","HRASLS",0.373993774317971,3.45156630784332e-08,5.35881973249006e-07
"354","ECHDC2",-0.373693557688239,3.54903972254781e-08,5.49458922856664e-07
"355","KLHL7",0.373640336327322,3.56659313718952e-08,5.50621098827813e-07
